iter	Logloss
0	0.6616635686
1	0.6343374381
2	0.6071809529
3	0.5823601242
4	0.5620282468
5	0.5454701122
6	0.5280074395
7	0.5117499096
8	0.4989424838
9	0.4857603202
10	0.4757840746
11	0.4649902952
12	0.4566461206
13	0.4479525866
14	0.4389745093
15	0.4308473956
16	0.4239515117
17	0.4189775634
18	0.413855188
19	0.4076772658
20	0.4030873034
21	0.3995452518
22	0.3950385363
23	0.3916306957
24	0.3877151722
25	0.3845494254
26	0.3814769454
27	0.3784069932
28	0.3758436956
29	0.3731692327
30	0.3707838201
31	0.3688934131
32	0.3668840113
33	0.3651474844
34	0.3635540967
35	0.3616852085
36	0.3602224479
37	0.3586983269
38	0.3573155554
39	0.3557173938
40	0.3545717511
41	0.3534169445
42	0.3519981268
43	0.3510722367
44	0.3499046899
45	0.3488175273
46	0.347896624
47	0.3469168742
48	0.3463082849
49	0.3454726968
50	0.3447884655
51	0.34410755
52	0.3432260078
53	0.3424144775
54	0.3417484551
55	0.3411784964
56	0.3405257805
57	0.3398383794
58	0.3393846513
59	0.3389265629
60	0.3382752216
61	0.3375909324
62	0.3368401183
63	0.3363198466
64	0.3356502679
65	0.3352135776
66	0.3346376176
67	0.334319691
68	0.3339498496
69	0.333379563
70	0.3329992498
71	0.3326043194
72	0.3322508716
73	0.3319952891
74	0.3315503577
75	0.3311672814
76	0.3306603262
77	0.3302216156
78	0.3299744967
79	0.3295666921
80	0.3292519614
81	0.3289385525
82	0.3286491475
83	0.3282196598
84	0.3278790406
85	0.3275099427
86	0.327223837
87	0.3268271217
88	0.3265316474
89	0.3262506219
90	0.3260476603
91	0.3256512404
92	0.3254350815
93	0.325163132
94	0.3248487403
95	0.3245733922
96	0.3243098463
97	0.3240584918
98	0.3237917067
99	0.3235879112
100	0.3233502173
101	0.3230962248
102	0.3229091521
103	0.3226813524
104	0.3224260559
105	0.3220722692
106	0.3218588833
107	0.321684249
108	0.3213297033
109	0.3210950086
110	0.3209488514
111	0.320578327
112	0.3204272807
113	0.320274708
114	0.3200389323
115	0.3197744059
116	0.3196068742
117	0.3193960918
118	0.3192232265
119	0.3189558487
120	0.3187299738
121	0.3185977073
122	0.318414159
123	0.3182419611
