iter	Passed	Remaining
0	22	18395
1	46	19302
2	69	18980
3	93	19279
4	117	19319
5	129	17781
6	153	18029
7	177	18194
8	201	18345
9	226	18502
10	249	18567
11	274	18644
12	296	18615
13	320	18615
14	344	18687
15	368	18708
16	387	18483
17	411	18499
18	434	18511
19	458	18516
20	480	18481
21	503	18436
22	526	18442
23	538	18052
24	562	18060
25	586	18080
26	609	18086
27	633	18104
28	657	18108
29	679	18063
30	701	18035
31	723	18005
32	746	17987
33	770	17985
34	793	17978
35	816	17954
36	839	17944
37	863	17941
38	886	17926
39	907	17885
40	930	17858
41	953	17853
42	977	17845
43	1000	17833
44	1024	17818
45	1047	17803
46	1070	17790
47	1094	17792
48	1118	17777
49	1141	17768
50	1164	17738
51	1187	17722
52	1210	17705
53	1233	17681
54	1257	17666
55	1279	17632
56	1302	17614
57	1326	17609
58	1351	17615
59	1374	17594
60	1396	17564
61	1420	17550
62	1443	17525
63	1465	17497
64	1488	17477
65	1511	17448
66	1533	17415
67	1557	17402
68	1579	17378
69	1603	17363
70	1625	17335
71	1650	17327
72	1675	17325
73	1698	17311
74	1722	17291
75	1746	17282
76	1771	17276
77	1794	17253
78	1818	17243
79	1841	17218
80	1864	17195
81	1887	17170
82	1911	17153
83	1934	17133
84	1957	17109
85	1981	17095
86	2004	17071
87	2027	17049
88	2052	17041
89	2076	17030
90	2101	17018
91	2126	17012
92	2150	16995
93	2173	16969
94	2196	16947
95	2220	16928
96	2244	16914
97	2270	16912
98	2293	16889
99	2317	16872
100	2343	16867
101	2367	16848
102	2391	16833
103	2415	16812
104	2438	16792
105	2463	16778
106	2487	16758
107	2511	16740
108	2534	16716
109	2557	16696
110	2582	16681
111	2606	16663
112	2631	16648
113	2654	16626
114	2679	16610
115	2702	16585
116	2724	16558
117	2747	16530
118	2769	16503
119	2791	16472
120	2815	16451
121	2839	16429
122	2863	16412
123	2886	16387
124	2908	16358
125	2931	16333
126	2954	16308
127	2977	16284
128	3000	16257
129	3023	16236
130	3046	16207
131	3069	16184
132	3092	16160
133	3116	16138
134	3141	16126
135	3165	16108
136	3190	16092
137	3214	16071
138	3239	16056
139	3263	16039
140	3288	16020
141	3312	16004
142	3337	15989
143	3362	15970
144	3386	15953
145	3411	15936
146	3435	15914
147	3458	15891
148	3481	15867
149	3506	15849
150	3530	15828
151	3553	15802
152	3576	15779
153	3599	15753
154	3625	15740
155	3648	15716
156	3671	15692
157	3694	15666
158	3717	15640
159	3740	15616
160	3764	15597
161	3788	15576
162	3812	15554
163	3836	15534
164	3860	15512
165	3887	15501
166	3912	15484
167	3936	15465
168	3960	15441
169	3985	15426
170	4011	15411
171	4035	15392
172	4062	15382
173	4092	15380
174	4121	15380
175	4151	15378
176	4189	15410
177	4234	15463
178	4266	15469
179	4296	15468
180	4326	15464
181	4355	15460
182	4380	15440
183	4405	15418
184	4429	15396
185	4455	15379
186	4482	15364
187	4508	15348
188	4535	15333
189	4562	15319
190	4588	15302
191	4613	15281
192	4644	15281
193	4672	15270
194	4699	15256
195	4725	15238
196	4751	15218
197	4776	15199
198	4804	15184
199	4831	15169
200	4856	15150
201	4883	15132
202	4910	15117
203	4934	15094
204	4961	15077
205	4989	15064
