number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.8638614671918792,2026-01-04 12:02:46.358703,2026-01-04 12:03:02.180631,0 days 00:00:15.821928,0.9207488710140077,75,0.0029813770307052724,7,158,0.012313185468743897,2464,165,3.189558257433924,68.00759466734245,1.4604981309148681,0.7105857020572387,,,COMPLETE
1,0.8644260866215292,2026-01-04 12:03:02.181803,2026-01-04 12:03:03.444389,0 days 00:00:01.262586,0.9530564762544467,68,0.04931971559288606,6,106,0.0011352037010541887,1903,187,0.28945743793615764,0.288100449320714,0.6266762858712516,0.9091306486449496,0.8672307644152517,,COMPLETE
2,0.8641961456597741,2026-01-04 12:03:03.446480,2026-01-04 12:03:04.405322,0 days 00:00:00.958842,0.7744693695582717,85,0.20488076178531783,6,70,0.18723826599997598,2472,172,0.003758956483794702,16.16555309446666,4.123202386128542,0.9476509558244903,0.876917779853801,0.8674637150754592,COMPLETE
3,0.8634391463050534,2026-01-04 12:03:04.407610,2026-01-04 12:03:06.115937,0 days 00:00:01.708327,0.8699523774329321,78,0.0034831692310756976,7,21,0.005459442990081154,2774,238,0.1359066326112449,2.3905570899706423,0.5692930860651022,0.6189421115206061,0.8634391463050534,,PRUNED
4,0.867132648245707,2026-01-04 12:03:06.117932,2026-01-04 12:03:13.789793,0 days 00:00:07.671861,0.9648491545732617,90,0.006555845553592281,4,118,0.0010642808503928906,2018,137,9.296636809266305,14.524344196393692,8.838933302775391,0.8469766835217188,0.867132648245707,,PRUNED
5,0.8635508061176335,2026-01-04 12:03:13.791788,2026-01-04 12:03:16.949047,0 days 00:00:03.157259,0.9928018966087818,79,0.0050886340074975545,7,83,0.0016424597689546315,989,166,0.0030027805331995197,0.03131632575245507,4.568889481390273,0.7806593633043436,0.8635508061176335,,PRUNED
6,0.8762327724860591,2026-01-04 12:03:16.951042,2026-01-04 12:03:19.114305,0 days 00:00:02.163263,0.7202566823081205,81,0.014732992751498175,5,89,0.13912547180286208,2750,41,0.28092862158076665,0.559207115308422,7.826601870595609,0.6024834066348518,0.8762327724860591,,PRUNED
7,0.8757885409945008,2026-01-04 12:03:19.116391,2026-01-04 12:03:19.783551,0 days 00:00:00.667160,0.827363846098876,75,0.05608433493489958,9,131,0.05665516705915337,2578,52,6.393152366775282,1.2968719897940162,2.108296580037806,0.6610291098698021,0.8757885409945008,,PRUNED
8,0.8745473413527752,2026-01-04 12:03:19.786153,2026-01-04 12:03:22.391584,0 days 00:00:02.605431,0.8231043313709798,80,0.021375308080191696,4,156,0.6799256856837608,2174,213,0.003878176760471735,73.0039111673775,0.5464389413942462,0.9187468734900787,0.8745473413527752,,PRUNED
9,0.8699792210418854,2026-01-04 12:03:22.393586,2026-01-04 12:03:24.669874,0 days 00:00:02.276288,0.7010463020186121,86,0.0019167018709944073,6,97,4.804080591664696,984,245,0.005374708639511808,0.24662390583051552,7.451328619624178,0.9516276646058703,0.8699792210418854,,PRUNED
