number,value,datetime_start,datetime_complete,duration,params_base_max_depth,params_base_max_features,params_base_min_samples_leaf,params_base_min_samples_split,params_learning_rate,params_minibatch_frac,params_n_estimators,state
0,0.8463194999566603,2026-01-01 12:14:04.760482,2026-01-01 12:19:18.989184,0 days 00:05:14.228702,5,0.5560145299407964,12,35,0.03925879663657639,0.8657241282022083,1472,COMPLETE
1,0.8515448180215929,2026-01-01 12:19:18.991440,2026-01-01 12:23:21.137689,0 days 00:04:02.146249,8,0.40038950108918625,38,20,0.011433986439392906,0.9496870062973557,1078,COMPLETE
2,0.8556091148115688,2026-01-01 12:23:21.139759,2026-01-01 12:26:09.293832,0 days 00:02:48.154073,7,0.5096654675632792,26,26,0.0016695019675157065,0.9132718319024828,726,COMPLETE
3,0.8499099498223073,2026-01-01 12:26:09.295284,2026-01-01 12:27:07.128170,0 days 00:00:57.832886,6,0.4089654510636173,28,30,0.05989026765310889,0.6096967589140375,450,COMPLETE
4,0.8568442950563897,2026-01-01 12:27:07.130548,2026-01-01 12:30:57.198715,0 days 00:03:50.068167,5,0.6855393075084262,7,19,0.008897877685299753,0.6687622971799265,1322,COMPLETE
5,0.857768874420934,2026-01-01 12:30:57.199725,2026-01-01 12:32:51.041818,0 days 00:01:53.842093,6,0.565274279729136,5,10,0.007365847013933652,0.7025018857701925,620,COMPLETE
6,0.8558835993104179,2026-01-01 12:32:51.043940,2026-01-01 12:37:55.532960,0 days 00:05:04.489020,9,0.7808139199361592,32,36,0.002231519844926522,0.6241959243507235,1206,COMPLETE
7,0.8582504261733008,2026-01-01 12:37:55.535010,2026-01-01 12:42:11.463277,0 days 00:04:15.928267,4,0.8535655465293988,41,41,0.01276254904089554,0.6716277445597496,1423,COMPLETE
8,0.8502229584613458,2026-01-01 12:42:11.464316,2026-01-01 12:43:29.267824,0 days 00:01:17.803508,9,0.6083165040981201,13,3,0.013311180886815453,0.8665373684598162,1235,PRUNED
9,0.8543532278413961,2026-01-01 12:43:29.269020,2026-01-01 12:47:49.341440,0 days 00:04:20.072420,8,0.4601143325766913,43,43,0.008834705328256181,0.6782887348509007,1464,COMPLETE
10,0.8621524400227294,2026-01-01 12:47:49.343509,2026-01-01 12:50:07.952855,0 days 00:02:18.609346,4,0.9316696417357129,50,49,0.0035232766756223125,0.501091613445362,996,COMPLETE
11,0.8624832660766053,2026-01-01 12:50:07.954869,2026-01-01 12:52:24.100804,0 days 00:02:16.145935,4,0.9915232226749362,50,50,0.0031618135113213176,0.5038726283827786,899,COMPLETE
12,0.8627702709210159,2026-01-01 12:52:24.101934,2026-01-01 12:54:46.879932,0 days 00:02:22.777998,4,0.9990317706808768,48,48,0.0034513614691417025,0.5173571033384607,914,COMPLETE
13,0.859438895898142,2026-01-01 12:54:46.881295,2026-01-01 12:56:54.104977,0 days 00:02:07.223682,4,0.9987794044154408,50,50,0.0010205266972627043,0.5004001801810909,852,COMPLETE
14,0.8615211256753763,2026-01-01 12:56:54.106013,2026-01-01 12:59:43.410841,0 days 00:02:49.304828,5,0.9976673663836744,45,44,0.004391944750480634,0.573773776578175,842,COMPLETE
15,0.8594567133129798,2026-01-01 12:59:43.410841,2026-01-01 13:00:50.530100,0 days 00:01:07.119259,6,0.8785138642132925,35,50,0.003988011631927878,0.5510708611228086,341,COMPLETE
16,0.8687217690285174,2026-01-01 13:00:50.531456,2026-01-01 13:01:14.939515,0 days 00:00:24.408059,4,0.7637325429261721,20,37,0.027533888102254246,0.7900883804157093,644,PRUNED
17,0.8624615962477487,2026-01-01 13:01:14.940526,2026-01-01 13:02:26.914107,0 days 00:01:11.973581,10,0.9172002066387207,47,44,0.0024563551992979747,0.7582075224829332,1019,PRUNED
18,0.8605556144118808,2026-01-01 13:02:26.915118,2026-01-01 13:04:33.861223,0 days 00:02:06.946105,5,0.8137071666916333,20,28,0.0013954712299781497,0.5670557525307782,744,COMPLETE
19,0.8679801793298726,2026-01-01 13:04:33.862258,2026-01-01 13:05:12.524373,0 days 00:00:38.662115,7,0.6835694297740483,39,39,0.005618090698806886,0.5343713851483916,1131,PRUNED
20,0.8638171644306615,2026-01-01 13:05:12.525375,2026-01-01 13:05:53.648751,0 days 00:00:41.123376,6,0.9312525615226668,34,32,0.02066421151387567,0.6025620185552447,913,PRUNED
21,0.8625920967726401,2026-01-01 13:05:53.649749,2026-01-01 13:08:14.674169,0 days 00:02:21.024420,4,0.9497124552968083,50,48,0.0033809577868254945,0.5109106217384307,944,COMPLETE
22,0.8628506900636612,2026-01-01 13:08:14.675218,2026-01-01 13:10:36.149762,0 days 00:02:21.474544,4,0.9557315209451375,46,46,0.0026180309978460843,0.5187403818091832,941,COMPLETE
23,0.8614556346370545,2026-01-01 13:10:36.150760,2026-01-01 13:13:50.416794,0 days 00:03:14.266034,5,0.8820132545412387,45,46,0.001988415139412076,0.6287302177833174,963,COMPLETE
24,0.8598409916113685,2026-01-01 13:13:50.417829,2026-01-01 13:15:57.554658,0 days 00:02:07.136829,4,0.95336594121999,41,46,0.0011749611786316405,0.5403910332120686,796,COMPLETE
25,0.8604212614729704,2026-01-01 13:15:57.556661,2026-01-01 13:19:07.529103,0 days 00:03:09.972442,5,0.853644290091069,46,40,0.006163795433035084,0.5738573817977417,1071,COMPLETE
26,0.8603490287101154,2026-01-01 13:19:07.530336,2026-01-01 13:20:57.006125,0 days 00:01:49.475789,4,0.9509304024702747,37,24,0.0025624313045502097,0.7209996606269677,522,COMPLETE
27,0.8607838699425028,2026-01-01 13:20:57.007205,2026-01-01 13:23:47.233986,0 days 00:02:50.226781,5,0.7383807376343776,31,33,0.004870296696859441,0.5329410256875101,1163,COMPLETE
28,0.8617888684496922,2026-01-01 13:23:47.235447,2026-01-01 13:25:37.685541,0 days 00:01:50.450094,4,0.8238895040765335,47,46,0.0028232728692403047,0.6395803527209138,650,COMPLETE
29,0.8655363041866111,2026-01-01 13:25:37.686632,2026-01-01 13:26:57.508832,0 days 00:01:19.822200,5,0.8976186411440774,42,38,0.0015142259171994864,0.99409324867687,1293,PRUNED
30,0.8623171307220387,2026-01-01 13:26:57.509829,2026-01-01 13:27:35.941942,0 days 00:00:38.432113,6,0.8204063723562374,22,13,0.0175727791861863,0.592312891166934,911,PRUNED
31,0.8625068621124713,2026-01-01 13:27:35.942980,2026-01-01 13:30:01.511252,0 days 00:02:25.568272,4,0.9740551298801414,50,48,0.0029808736840298937,0.511703779535657,947,COMPLETE
32,0.862595949186659,2026-01-01 13:30:01.512426,2026-01-01 13:32:45.414254,0 days 00:02:43.901828,4,0.960270644551614,48,47,0.001927503549755473,0.5280697668258694,1082,COMPLETE
33,0.8616805193054098,2026-01-01 13:32:45.415792,2026-01-01 13:35:56.471021,0 days 00:03:11.055229,5,0.9645658311699531,44,42,0.0018942849541052785,0.5422162927764226,1039,COMPLETE
34,0.8692177673334552,2026-01-01 13:35:56.472058,2026-01-01 13:36:47.499732,0 days 00:00:51.027674,7,0.9036295603863549,38,46,0.0013887246783165102,0.5768810632104006,1097,PRUNED
35,0.8615654284365941,2026-01-01 13:36:47.500729,2026-01-01 13:39:51.163972,0 days 00:03:03.663243,4,0.9410510552226746,48,34,0.004090196513630521,0.8287577117963978,778,COMPLETE
36,0.8563988596854504,2026-01-01 13:39:51.165263,2026-01-01 13:40:28.728444,0 days 00:00:37.563181,5,0.860554896815085,41,47,0.08065942472586039,0.5282872683286003,853,PRUNED
37,0.8624302953838449,2026-01-01 13:40:28.730464,2026-01-01 13:42:47.053610,0 days 00:02:18.323146,4,0.6216314072868798,47,42,0.0018051244357382098,0.6428237487301938,1013,COMPLETE
