number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.8556457127447488,2025-12-31 00:20:07.084374,2025-12-31 00:20:16.009739,0 days 00:00:08.925365,balanced,11,0.8679854848712821,40,23,530,,,COMPLETE
1,0.861520644123624,2025-12-31 00:20:16.010774,2025-12-31 00:20:37.427268,0 days 00:00:21.416494,balanced,15,0.7005970753140752,18,44,1263,0.871820554554998,0.864969276998199,COMPLETE
2,0.8599050379944332,2025-12-31 00:20:37.429400,2025-12-31 00:20:53.530172,0 days 00:00:16.100772,,10,0.8636959729674244,1,26,744,0.8633175544875807,,COMPLETE
3,0.8517308173859444,2025-12-31 00:20:53.531618,2025-12-31 00:20:58.650953,0 days 00:00:05.119335,balanced,4,0.7908268859359464,47,20,1039,0.8517308173859444,,PRUNED
4,0.8631002542593251,2025-12-31 00:20:58.653017,2025-12-31 00:21:09.254128,0 days 00:00:10.601111,balanced,10,0.8812885852480954,22,44,680,0.8631002542593251,,PRUNED
5,0.8686483323862815,2025-12-31 00:21:09.255177,2025-12-31 00:21:17.172484,0 days 00:00:07.917307,balanced,6,0.9455895753834835,23,47,1146,0.8686483323862815,,PRUNED
6,0.8627148924694937,2025-12-31 00:21:17.174479,2025-12-31 00:21:22.074608,0 days 00:00:04.900129,,12,0.4259944376168821,27,31,356,0.8723972127784572,0.8653912367212104,COMPLETE
7,0.8605522435496142,2025-12-31 00:21:22.076785,2025-12-31 00:21:25.716329,0 days 00:00:03.639544,balanced,5,0.4040584371940017,29,31,904,0.8605522435496142,,PRUNED
8,0.8705552773256542,2025-12-31 00:21:25.717477,2025-12-31 00:21:32.800619,0 days 00:00:07.083142,,15,0.5711505760147059,40,48,1249,0.8705552773256542,,PRUNED
9,0.861262050832603,2025-12-31 00:21:32.801742,2025-12-31 00:21:43.758637,0 days 00:00:10.956895,,8,0.9892028449131727,23,4,535,0.8645485211545685,,COMPLETE
10,0.8635638682089164,2025-12-31 00:21:43.759666,2025-12-31 00:21:48.337598,0 days 00:00:04.577932,,13,0.4044453545057708,11,11,331,0.8737648197551792,0.8671567258333254,COMPLETE
11,0.8670441631112096,2025-12-31 00:21:48.339645,2025-12-31 00:21:51.977281,0 days 00:00:03.637636,,13,0.4115344540869249,8,11,323,0.8737070335448951,0.8670441631112096,PRUNED
12,0.8634983771705945,2025-12-31 00:21:51.978703,2025-12-31 00:21:56.855288,0 days 00:00:04.876585,,12,0.5277863231534211,15,34,304,0.8671175997534455,,COMPLETE
13,0.8634921169978137,2025-12-31 00:21:56.856656,2025-12-31 00:22:23.434030,0 days 00:00:26.577374,,13,0.5387054043125192,11,14,1495,0.874069401238551,0.8671910363956814,COMPLETE
14,0.8732399283450993,2025-12-31 00:22:23.435721,2025-12-31 00:22:26.530752,0 days 00:00:03.095031,,8,0.5310340730037252,13,38,490,0.8732399283450993,,PRUNED
15,0.8681776155483429,2025-12-31 00:22:26.531756,2025-12-31 00:22:29.406177,0 days 00:00:02.874421,,13,0.6419510766263994,2,2,300,0.8681776155483429,,PRUNED
16,0.8642154077298686,2025-12-31 00:22:29.407561,2025-12-31 00:22:40.328781,0 days 00:00:10.921220,,14,0.47352502004273994,16,35,702,0.8673758318806521,,COMPLETE
17,0.8636356194200191,2025-12-31 00:22:40.331860,2025-12-31 00:22:53.423977,0 days 00:00:13.092117,,15,0.47394773323234873,8,15,798,0.8743547206518285,0.8674655208945306,COMPLETE
18,0.8658240313586502,2025-12-31 00:22:53.425013,2025-12-31 00:23:06.447261,0 days 00:00:13.022248,,15,0.6191440959990882,7,18,800,0.8658240313586502,,PRUNED
19,0.865216072271287,2025-12-31 00:23:06.448266,2025-12-31 00:23:17.068917,0 days 00:00:10.620651,,14,0.4795182475230885,30,27,921,0.865216072271287,,PRUNED
