number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.8543450414616057,2026-01-01 18:01:33.510980,2026-01-01 18:01:55.927122,0 days 00:00:22.416142,0.983255741473482,68,1.3629630264132082,0.0029813770307052724,8,0.06751383304677265,1594,1.3179630432958698,13.849507661133075,6.895799670211798,0.9207488710140077,,,COMPLETE
1,0.8576614883801561,2026-01-01 18:01:55.931112,2026-01-01 18:02:02.180910,0 days 00:00:06.249798,0.9530564762544467,81,2.5154158265390487,0.017419098458624965,8,0.010997788128340768,2282,0.1757052524413466,0.3026934470902619,1.4917553854671595,0.9091306486449496,0.8689685643016054,0.8615905895156551,COMPLETE
2,0.8582533154838151,2026-01-01 18:02:02.182904,2026-01-01 18:02:05.999684,0 days 00:00:03.816780,0.9476509558244903,90,3.9436507147037276,0.0015371932752143134,6,0.08922948091189509,2833,0.03879808685234139,4.031926187760739,1.846905659595764,0.8272394610504277,0.8624251788964761,,COMPLETE
3,0.8601465361982452,2026-01-01 18:02:06.003673,2026-01-01 18:02:07.638028,0 days 00:00:01.634355,0.6737148335255254,84,2.2107037770208833,0.0022705332007363346,8,5.345002059908353,2262,5.005765657505184,0.07501850803958504,0.5762098028590981,0.6239236891119407,0.8601465361982452,,PRUNED
4,0.8661372807735648,2026-01-01 18:02:07.640023,2026-01-01 18:02:10.512884,0 days 00:00:02.872861,0.8263778572202125,81,2.5148341655630917,0.029713764772167167,7,0.021661221968940082,608,0.020829257190366924,1.7608903775850084,0.5102350067975332,0.8428774824873938,0.8693330387841782,,COMPLETE
5,0.866459378701929,2026-01-01 18:02:10.514878,2026-01-01 18:02:11.645349,0 days 00:00:01.130471,0.6782700714663593,52,1.4262548001225488,0.18173517306843048,9,0.7494628597868337,2981,1.4718262393979016,68.4237777873914,1.5717246965261429,0.7912375182682698,0.866459378701929,,PRUNED
6,0.860652767477921,2026-01-01 18:02:11.647344,2026-01-01 18:02:21.475552,0 days 00:00:09.828208,0.6916874261842472,71,2.936518167319923,0.013145825762799096,10,0.25995465752832836,809,0.8996886145567825,0.030027805331995203,7.4105717730613305,0.6428507268775465,0.860652767477921,,PRUNED
7,0.8690600591345552,2026-01-01 18:02:21.477702,2026-01-01 18:02:24.622982,0 days 00:00:03.145280,0.6599334863959708,92,4.590990376902865,0.021250519067186308,4,0.753719948691389,1251,0.28092862158076665,0.559207115308422,4.673270053885615,0.8823990260327093,0.8690600591345552,,PRUNED
8,0.8598207664377691,2026-01-01 18:02:24.624977,2026-01-01 18:02:27.202891,0 days 00:00:02.577914,0.8147512771697639,52,4.757143818767966,0.037137748595242236,7,0.2761070752133479,881,0.1296871989794016,1.877752984795976,5.818036829413822,0.8010238253530202,0.8698642505610078,0.8631604482283711,COMPLETE
9,0.8648525006982499,2026-01-01 18:02:27.204886,2026-01-01 18:02:29.707380,0 days 00:00:02.502494,0.8375573970499087,98,4.8291826599606384,0.045523833695795185,9,0.02763571464435221,2270,0.17023282790905817,15.398156698901445,0.7036762607140001,0.6118588002141662,0.8736961986304668,0.8670327262570907,COMPLETE
