number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.8513664030973409,2026-03-01 13:52:28.605935,2026-03-01 13:52:33.189853,0 days 00:00:04.583918,0.983255741473482,68,1.3629630264132082,0.0029813770307052724,8,0.06751383304677265,1594,1.3179630432958698,13.849507661133075,6.895799670211798,0.9207488710140077,,,COMPLETE
1,0.8559144186225695,2026-03-01 13:52:33.192015,2026-03-01 13:52:35.984385,0 days 00:00:02.792370,0.9530564762544467,81,2.5154158265390487,0.017419098458624965,8,0.010997788128340768,2282,0.1757052524413466,0.3026934470902619,1.4917553854671595,0.9091306486449496,0.8662201076749718,0.8589348316013522,COMPLETE
2,0.8529468559486089,2026-03-01 13:52:35.987377,2026-03-01 13:52:44.039431,0 days 00:00:08.052054,0.9476509558244903,90,3.9436507147037276,0.0015371932752143134,6,0.08922948091189509,2833,0.03879808685234139,4.031926187760739,1.846905659595764,0.8272394610504277,0.8565469368493033,,COMPLETE
3,0.8479635778332099,2026-03-01 13:52:44.041728,2026-03-01 13:52:45.408579,0 days 00:00:01.366851,0.6737148335255254,84,2.2107037770208833,0.0022705332007363346,8,5.345002059908353,2262,5.005765657505184,0.07501850803958504,0.5762098028590981,0.6239236891119407,0.8479635778332099,,PRUNED
4,0.8598956477352623,2026-03-01 13:52:45.410187,2026-03-01 13:52:47.294444,0 days 00:00:01.884257,0.8263778572202125,81,2.5148341655630917,0.029713764772167167,7,0.021661221968940082,608,0.020829257190366924,1.7608903775850084,0.5102350067975332,0.8428774824873938,0.8618403944871956,,COMPLETE
5,0.8600097755005731,2026-03-01 13:52:47.297552,2026-03-01 13:52:48.479299,0 days 00:00:01.181747,0.6782700714663593,52,1.4262548001225488,0.18173517306843048,9,0.7494628597868337,2981,1.4718262393979016,68.4237777873914,1.5717246965261429,0.7912375182682698,0.8623953828817983,,COMPLETE
6,0.8633861756122931,2026-03-01 13:52:48.481689,2026-03-01 13:52:49.325449,0 days 00:00:00.843760,0.6916874261842472,71,2.936518167319923,0.013145825762799096,10,0.25995465752832836,809,0.8996886145567825,0.030027805331995203,7.4105717730613305,0.6428507268775465,0.8633861756122931,,PRUNED
7,0.8596587242730976,2026-03-01 13:52:49.329966,2026-03-01 13:52:52.426083,0 days 00:00:03.096117,0.6599334863959708,92,4.590990376902865,0.021250519067186308,4,0.753719948691389,1251,0.28092862158076665,0.559207115308422,4.673270053885615,0.8823990260327093,0.870297647138138,0.8621603254326742,COMPLETE
8,0.8603716616424768,2026-03-01 13:52:52.427350,2026-03-01 13:52:53.595793,0 days 00:00:01.168443,0.8147512771697639,52,4.757143818767966,0.037137748595242236,7,0.2761070752133479,881,0.1296871989794016,1.877752984795976,5.818036829413822,0.8010238253530202,0.8603716616424768,,PRUNED
9,0.8663423014321349,2026-03-01 13:52:53.597126,2026-03-01 13:52:54.603906,0 days 00:00:01.006780,0.8375573970499087,98,4.8291826599606384,0.045523833695795185,9,0.02763571464435221,2270,0.17023282790905817,15.398156698901445,0.7036762607140001,0.6118588002141662,0.8663423014321349,,PRUNED
10,0.868467750479144,2026-03-01 13:52:54.605901,2026-03-01 13:52:54.983931,0 days 00:00:00.378030,0.6118666196418625,50,0.1674773620658514,0.23881313811017776,10,2.3136774541722898,2993,0.0023137476690698617,86.33548946565622,3.1366067592440827,0.7294923982520973,0.868467750479144,,PRUNED
11,0.8616580067609867,2026-03-01 13:52:54.985926,2026-03-01 13:52:55.654422,0 days 00:00:00.668496,0.7417538444235054,62,1.0648860262785087,0.2761764248625719,6,0.9057090300643545,536,0.01397001775294324,74.9539942688551,0.9360502290244761,0.9981028224300197,0.8616580067609867,,PRUNED
12,0.8612763769972359,2026-03-01 13:52:55.656569,2026-03-01 13:52:56.403485,0 days 00:00:00.746916,0.8699769036313872,61,1.4725414121975513,0.12352078751011566,6,0.10180474567515996,1660,0.011059573042140761,11.017508898313642,1.2083036055284548,0.729026878480028,0.8612763769972359,,PRUNED
13,0.8598311198004449,2026-03-01 13:52:56.406478,2026-03-01 13:52:58.062010,0 days 00:00:01.655532,0.7556776223329265,77,3.1623382730073106,0.08547093288643572,4,0.7840245728138988,1286,6.812877491952477,0.010431652521790853,2.7346038257272705,0.7585119226627116,0.8623719072338705,,COMPLETE
14,0.8620113453592857,2026-03-01 13:52:58.065002,2026-03-01 13:52:58.987617,0 days 00:00:00.922615,0.8878806299555186,58,0.44186545604541694,0.007264868511674803,9,0.010837458307074586,2570,0.0012264916190914657,0.1373101609562379,0.5184548407742604,0.8470689750073055,0.8620113453592857,,PRUNED
15,0.8616227932890949,2026-03-01 13:52:58.990119,2026-03-01 13:52:59.880314,0 days 00:00:00.890195,0.7502279576164133,71,2.2323685924968055,0.08018619922762686,7,2.17367170968283,1998,0.03787342445115752,1.9972155641950329,0.9276558392791435,0.777736780526046,0.8697751634868199,0.8616227932890949,PRUNED
16,0.8695699020523735,2026-03-01 13:52:59.882669,2026-03-01 13:53:03.450414,0 days 00:00:03.567745,0.7867821218193211,84,1.8005129541557072,0.005490154196699212,5,0.03781287552331536,1336,0.8649179162884291,33.20918062076813,3.459284677870123,0.6932398111528855,0.8695699020523735,,PRUNED
